contrast,dataset,case_label,control_label,module,test,n_case,n_control,mean_case,mean_control,delta_case_minus_control,ci95_low,ci95_high,p_value,effect_size_cohen_d,direction,supports_ama_attenuation_direction,fdr_within_all_module_tests
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,ASD post-CPB,ASD pre-CPB,arterial_maturation,paired_t,10,10,5.1047531387500005,4.95805141,0.14670172875,0.02010102623067503,0.27330243126932496,0.027750300518004777,0.828937696954158,higher_in_case,False,0.1439487645076262
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,ASD post-CPB,ASD pre-CPB,endothelial_matrix_core,paired_t,10,10,6.630360491734694,6.676977798316327,-0.0466173065816327,-0.24971782021466316,0.15648320705139773,0.6161269944683634,-0.16419462267425428,lower_in_case,True,0.7025463822947434
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,ASD post-CPB,ASD pre-CPB,tgfb_plasticity_core,paired_t,10,10,5.0553436675,5.188675243125,-0.13333157562500003,-0.217237798776732,-0.04942535247326808,0.005796154519933034,-1.1367412311577147,lower_in_case,True,0.061825648212619023
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,ASD post-CPB,ASD pre-CPB,AMA,paired_t,10,10,0.19434255180558294,1.0880185641326535e-15,0.19434255180558185,-0.4313030681841417,0.8199881717953055,0.5000205491848316,0.2222093180487193,higher_in_case,True,0.6154099066890235
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,HLHS ventricle,healthy right ventricle,arterial_maturation,welch_t,6,5,4.526627977534454,4.435910080292793,0.09071789724166113,-0.28956493581171633,0.4710007302950386,0.5716181115114671,0.3906039084287899,higher_in_case,False,0.677473317346924
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,HLHS ventricle,healthy right ventricle,endothelial_matrix_core,welch_t,6,5,6.664295000343678,7.201090526395132,-0.5367955260514536,-1.134432102095415,0.06084104999250761,0.0720258148110649,-1.278640970095035,lower_in_case,True,0.20730193539314246
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,HLHS ventricle,healthy right ventricle,tgfb_plasticity_core,welch_t,6,5,5.175667302001104,5.363702779813895,-0.18803547781279129,-0.36745542935385134,-0.008615526271731233,0.042477951911312636,-1.5929269196679599,lower_in_case,True,0.16991180764525055
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,HLHS ventricle,healthy right ventricle,AMA,welch_t,6,5,0.7257391984250351,2.6645352591003756e-16,0.7257391984250349,-0.1493816983725068,1.6008600952225764,0.0916153386786272,1.1969936619140713,higher_in_case,True,0.20730193539314246
GSE23959_HLHS_ventricle_vs_all_healthy_ventricles_sensitivity,GSE23959,HLHS ventricle,all healthy ventricles,arterial_maturation,welch_t,6,10,4.526627977534454,4.551939269559403,-0.025311292024949417,-0.25078359208031187,0.20016100803041303,0.8129637743109348,-0.1059787308425524,lower_in_case,True,0.8129637743109348
GSE23959_HLHS_ventricle_vs_all_healthy_ventricles_sensitivity,GSE23959,HLHS ventricle,all healthy ventricles,endothelial_matrix_core,welch_t,6,10,6.664295000343678,6.981043064521292,-0.3167480641776139,-0.7815374212561672,0.14804129290093931,0.16359891491712628,-0.7325295836255157,lower_in_case,True,0.26175826386740203
GSE23959_HLHS_ventricle_vs_all_healthy_ventricles_sensitivity,GSE23959,HLHS ventricle,all healthy ventricles,tgfb_plasticity_core,welch_t,6,10,5.175667302001104,5.302939100953866,-0.12727179895276208,-0.27894137051846557,0.024397772612941432,0.0933066321871278,-0.7883579906761996,lower_in_case,True,0.20730193539314246
GSE23959_HLHS_ventricle_vs_all_healthy_ventricles_sensitivity,GSE23959,HLHS ventricle,all healthy ventricles,AMA,welch_t,6,10,0.48543628402599537,-3.3861802251067273e-16,0.4854362840259957,-0.18628759730929445,1.1571601653612857,0.14317908818914374,0.7243443047658477,higher_in_case,True,0.25037537884344013
