contrast,dataset,sample,role,module,raw_module_score,z_vs_control
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-16,case,ecm_integrin,11.411851245862342,0.8019705445589767
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-17,case,ecm_integrin,11.584188205094415,1.0737919381847816
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-20,case,ecm_integrin,10.841937684405162,-0.09693529207543326
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-22,case,ecm_integrin,10.809771485698151,-0.14766997486863434
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-06,control,ecm_integrin,10.242614357570874,-1.0422281802548803
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-02,control,ecm_integrin,10.669317630496677,-0.36920320158392095
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-04,control,ecm_integrin,10.954536839210107,0.08066363572595638
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-08,control,ecm_integrin,11.747112943076933,1.330767746112842
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-04,case,tgfb_endmt,8.181476576133644,-0.6245306350582462
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-05,case,tgfb_endmt,8.122594258000284,-0.779787619195519
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-18,case,tgfb_endmt,5.9033456454525846,-6.631354907266896
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-19,case,tgfb_endmt,6.147377104371965,-5.9879089705659725
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-07,case,tgfb_endmt,9.153476007779428,1.938372883765152
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-08,case,tgfb_endmt,7.875458501452219,-1.431418761624967
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-09,case,tgfb_endmt,9.048321187805573,1.6611076412578445
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-13,case,tgfb_endmt,8.734080194263676,0.8325378685950737
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-14,case,tgfb_endmt,7.616112989443217,-2.11524377600126
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-15,case,tgfb_endmt,8.156497376244308,-0.6903941296339309
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-01,case,tgfb_endmt,8.075666901350749,-0.9035225552155254
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-03,case,tgfb_endmt,8.36354303733173,-0.14446988720963527
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-06,case,tgfb_endmt,8.179111526087496,-0.6307666418789525
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-10,case,tgfb_endmt,8.847053359836721,1.130418005304135
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-02,case,tgfb_endmt,9.126288986499393,1.8666879524407058
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-11,case,tgfb_endmt,7.375806083183726,-2.748869059718971
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-12,case,tgfb_endmt,8.357322433505459,-0.16087196206328344
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-21,case,tgfb_endmt,7.859045665619134,-1.4746950366318996
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-16,case,tgfb_endmt,8.256825660267019,-0.42585517643316223
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-17,case,tgfb_endmt,8.230133589669796,-0.496235054683168
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-20,case,tgfb_endmt,8.156293589508914,-0.6909314609576198
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-22,case,tgfb_endmt,7.964124141445002,-1.19763109330147
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-06,control,tgfb_endmt,8.034248753570056,-1.0127311753384314
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-02,control,tgfb_endmt,8.282745915802098,-0.3575103688573247
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-04,control,tgfb_endmt,8.42266039275284,0.01140682763139789
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-08,control,tgfb_endmt,8.933682026071203,1.3588347165643535
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-04,case,AMA,0.20196140518698402,0.20196140518698402
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-05,case,AMA,0.4377866248316238,0.4377866248316238
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-18,case,AMA,6.3448551622356115,6.3448551622356115
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-19,case,AMA,4.691438568921168,4.691438568921168
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-07,case,AMA,-1.9111363010188753,-1.9111363010188753
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-08,case,AMA,0.8020412444865036,0.8020412444865036
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-09,case,AMA,-0.7881572912786039,-0.7881572912786039
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-13,case,AMA,-0.7243319960697064,-0.7243319960697064
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-14,case,AMA,1.4063606813198375,1.4063606813198375
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-15,case,AMA,0.8108322008629628,0.8108322008629628
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-01,case,AMA,0.5195174822038501,0.5195174822038501
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-03,case,AMA,-0.31715242013592526,-0.31715242013592526
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-06,case,AMA,0.7337296711151229,0.7337296711151229
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-10,case,AMA,-0.5172214133259901,-0.5172214133259901
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-02,case,AMA,-1.7518751677731572,-1.7518751677731572
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-11,case,AMA,2.6740562001529646,2.6740562001529646
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-12,case,AMA,-0.24396232664961628,-0.24396232664961628
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-21,case,AMA,0.5896187976802295,0.5896187976802295
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-16,case,AMA,-0.6109920516229027,-0.6109920516229027
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-17,case,AMA,0.034335407982788224,0.034335407982788224
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-20,case,AMA,0.788122623650824,0.788122623650824
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-22,case,AMA,0.600222936961796,0.600222936961796
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-06,control,AMA,0.8718022360260228,0.8718022360260228
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-02,control,AMA,0.6112622471616643,0.6112622471616643
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-04,control,AMA,-0.3709602443150552,-0.3709602443150552
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-08,control,AMA,-1.1121042388726277,-1.1121042388726277
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-04,case,arterial_maturation,8.095809406862283,-0.18045228373104988
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-05,case,arterial_maturation,8.264247745280532,0.13751585124242338
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-18,case,arterial_maturation,4.7716711830428045,-6.455567802843796
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-19,case,arterial_maturation,6.19987823524572,-3.7594812882802904
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-07,case,arterial_maturation,8.609387525793222,0.7890507294972234
