contrast,case_groups,control_groups,unadjusted_n_case,unadjusted_n_control,unadjusted_mean_case,unadjusted_mean_control,unadjusted_delta,unadjusted_ci_low,unadjusted_ci_high,unadjusted_p_value,adjusted_beta,adjusted_se,adjusted_ci_low,adjusted_ci_high,adjusted_p_value,adjusted_df_resid,adjusted_n,adjusted_rank,adjusted_fdr
CHD_vs_Donor,TOF;HLHS,Donor,6,4,-0.2481757498758983,1.6653345369377348e-16,-0.24817574987589847,-1.7733178651333563,1.2769663653815593,0.7072776015345498,2.1217763615983865,1.019229188487942,-0.4982356766790592,4.741788399875832,0.09185789369132154,5,10,5,0.2942148013571173
TOF_vs_Donor,TOF,Donor,3,4,-0.5274279460370109,1.6653345369377348e-16,-0.527427946037011,-2.0454481974117473,0.9905923053377252,0.3766430345359684,0.24612505024279974,1.6886007190724042,-7.0193374431309845,7.511587543616583,0.8974774585192998,2,7,5,0.8974774585192998
HLHS_vs_Donor,HLHS,Donor,3,4,0.03107644628521437,1.6653345369377348e-16,0.031076446285214204,-2.765316005516049,2.8274688980864773,0.9756480888004396,0.757671681374062,1.0316787177588804,-3.6812835698156094,5.196626932563734,0.5391336091860254,2,7,5,0.6469603310232305
Cardiomyopathy_vs_Donor,Cardiomyopathy,Donor,3,4,0.2657143308701691,1.6653345369377348e-16,0.26571433087016894,-1.613528341753093,2.144957003493431,0.727379262403655,1.1002514729170998,0.3725406018133114,-0.5026613644174518,2.703164310251651,0.09807160045237244,2,7,5,0.2942148013571173
CHD_vs_Cardiomyopathy,TOF;HLHS,Cardiomyopathy,6,3,-0.2481757498758983,0.2657143308701691,-0.5138900807460673,-2.256221884054094,1.2284417225619593,0.4683061228952831,3.3421273244985046,2.0148864696818194,-2.252094351778845,8.936349000775854,0.1725117570349023,4,9,5,0.3450235140698046
HLHS_vs_TOF,HLHS,TOF,3,3,0.03107644628521437,-0.5274279460370109,0.5585043923222253,-2.7400985962855158,3.8571073809299667,0.5628230765883456,0.23608892419114014,0.13284720952591667,-1.4518949186746541,1.9240727670569344,0.3262939166044209,1,6,5,0.48944087490663135
