populations,n_donors,mean_leave_arterial_out_score,sd_leave_arterial_out_score,mean_adjusted_residual,sd_adjusted_residual
BEC-Arterial,8,0.5712766283468782,0.21160420568980876,0.13817302216425256,0.14836135419556765
BEC-Capillary,8,0.4384709418633367,0.15564467552631486,0.19765679097979094,0.04506879647635778
BEC-Proliferating,8,0.5735863352162465,0.15368250395024521,0.38257040307980617,0.06181336916670991
BEC-Venous,8,0.6425951179456879,0.12143077165716964,0.45434592495319603,0.10721550394755294
Endocardial,8,-0.46166175883244,0.25073637621235173,-0.6589110467521516,0.16861025657185708
LEC,8,0.9445155697741131,0.19496200736205418,0.7899224894385702,0.20632107743699227
aEndocardial,8,-0.5072469763241555,0.5216649061200144,-0.6937045620618998,0.45196864392796354
vEndocardial,8,-0.40786353197079234,0.16518008807517048,-0.6100530218015652,0.05300197775972757
