contrast,dataset,sample,role,module,raw_module_score,z_vs_control
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-21,case,endothelial_matrix_core,10.460876262101493,-0.6758811505390714
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-16,case,endothelial_matrix_core,10.985159072860105,0.31503150134680374
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-17,case,endothelial_matrix_core,11.165803144595028,0.6564550469925342
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-20,case,endothelial_matrix_core,10.210427300304934,-1.1492383535661905
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-22,case,endothelial_matrix_core,10.432672069824937,-0.7291880497727543
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-06,control,endothelial_matrix_core,10.162369524139363,-1.2400692132601376
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-02,control,endothelial_matrix_core,10.796121371717161,-0.042256294289526694
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-04,control,endothelial_matrix_core,10.85881949444736,0.07624532694987735
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-08,control,endothelial_matrix_core,11.456604770109417,1.2060801805997836
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-04,case,tgfb_plasticity_core,7.061392179773733,0.06728342952590119
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-05,case,tgfb_plasticity_core,7.086019425367572,0.1287663592409036
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-18,case,tgfb_plasticity_core,4.68852265708448,-5.856682753800593
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-19,case,tgfb_plasticity_core,5.010973577035591,-5.051670793678985
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-07,case,tgfb_plasticity_core,7.74201688650064,1.7664909534259534
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-08,case,tgfb_plasticity_core,6.898055785176751,-0.34049258548329325
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-09,case,tgfb_plasticity_core,7.503373650986976,1.1707083182895925
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-13,case,tgfb_plasticity_core,7.420982365693714,0.9650150919191304
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-14,case,tgfb_plasticity_core,6.461047247143608,-1.4315023423953768
