dataset,probe_id,gene_symbol
GSE23959,2737775,NFKB1
GSE23959,2737776,NFKB1
GSE23959,2737781,NFKB1
GSE23959,2737783,NFKB1
GSE23959,2737784,NFKB1
GSE23959,2737789,NFKB1
GSE23959,2737790,NFKB1
GSE23959,2737791,NFKB1
GSE23959,2737793,NFKB1
GSE23959,2737796,NFKB1
GSE23959,2737797,NFKB1
GSE23959,2769812,KDR
GSE23959,2769813,KDR
GSE23959,2769814,KDR
GSE23959,2769815,KDR
GSE23959,2769816,KDR
GSE23959,2769817,KDR
GSE23959,2769818,KDR
GSE23959,2769819,KDR
GSE23959,2769820,KDR
GSE23959,2769821,KDR
GSE23959,2769824,KDR
GSE23959,2769826,KDR
GSE23959,2769827,KDR
GSE23959,2769828,KDR
GSE23959,2769831,KDR
GSE23959,2769832,KDR
GSE23959,2769833,KDR
GSE23959,2769834,KDR
GSE23959,2769835,KDR
GSE23959,2769837,KDR
GSE23959,2769839,KDR
GSE23959,2769840,KDR
GSE23959,2769845,KDR
GSE23959,2769848,KDR
GSE23959,2769849,KDR
GSE23959,2769850,KDR
GSE23959,2769851,KDR
GSE23959,2769852,KDR
GSE23959,2769853,KDR
GSE23959,2769856,KDR
GSE23959,2769857,KDR
GSE23959,2769860,KDR
GSE23959,2769861,KDR
GSE23959,2769862,KDR
GSE23959,2769863,KDR
GSE23959,2779562,EMCN
GSE23959,2779569,EMCN
GSE23959,2779573,EMCN
GSE23959,2779575,EMCN
GSE23959,2779578,EMCN
GSE23959,2779579,EMCN
GSE23959,2779587,EMCN
GSE23959,2779589,EMCN
GSE23959,2779590,EMCN
GSE23959,2779597,EMCN
GSE23959,2818524,VCAN
GSE23959,2818525,VCAN
GSE23959,2818529,VCAN
GSE23959,2818532,VCAN
GSE23959,2818533,VCAN
GSE23959,2818534,VCAN
GSE23959,2818535,VCAN
GSE23959,2818536,VCAN
GSE23959,2818543,VCAN
GSE23959,2818544,VCAN
GSE23959,2818549,VCAN
GSE23959,2818550,VCAN
GSE23959,2818559,VCAN
GSE23959,2818560,VCAN
GSE23959,2818561,VCAN
GSE23959,2818562,VCAN
GSE23959,2818564,VCAN
GSE23959,2818565,VCAN
GSE23959,2818568,VCAN
GSE23959,2818571,VCAN
GSE23959,2818572,VCAN
GSE23959,2818573,VCAN
GSE23959,2818577,VCAN
GSE23959,2818578,VCAN
GSE23959,2818581,VCAN
GSE23959,2818582,VCAN
GSE23959,2895248,EDN1
GSE23959,2895250,EDN1
GSE23959,2895252,EDN1
GSE23959,2895254,EDN1
GSE23959,2895256,EDN1
GSE23959,2895257,EDN1
GSE23959,2902417,TNF
GSE23959,2902418,TNF
GSE23959,2902420,TNF
GSE23959,2902421,TNF
GSE23959,2902423,TNF
GSE23959,2902424,TNF
GSE23959,2908180,VEGFA
GSE23959,2908181,VEGFA
GSE23959,2908182,VEGFA
GSE23959,2908189,VEGFA
GSE23959,2908192,VEGFA
GSE23959,2908196,VEGFA
