contrast,n_case,n_control,hedges_g,sampling_variance,standard_error,ci_low_normal,ci_high_normal
GSE217772_TOF_RV_vs_healthy_RV,5,5,1.2352282954102038,0.4953618088613749,0.7038194433669582,-0.14425781358903422,2.614714404409442
GSE36761_TOF_RV_vs_healthy_RV,22,4,0.3536536577733613,0.2980601894057221,0.5459488890049343,-0.71640616467631,1.4237134802230327
GSE23959_HLHS_ventricle_vs_healthy_RV,6,5,1.0943942051785795,0.4332054820182475,0.6581834713955126,-0.19564539875662512,2.3844338091137844
