dataset,sample,module,raw_module_score,n_genes_present,n_genes_total
GSE36761,TOF-10,tgfb_plasticity_core,7.560320443130567,8,8
GSE36761,TOF-02,tgfb_plasticity_core,7.913050197306132,8,8
GSE36761,TOF-11,tgfb_plasticity_core,6.645574457517495,8,8
GSE36761,TOF-12,tgfb_plasticity_core,7.367637116039637,8,8
GSE36761,TOF-21,tgfb_plasticity_core,6.883192126106104,8,8
GSE36761,TOF-16,tgfb_plasticity_core,7.04808273646616,8,8
GSE36761,TOF-17,tgfb_plasticity_core,7.065476336490526,8,8
GSE36761,TOF-20,tgfb_plasticity_core,7.2833287782942415,8,8
GSE36761,TOF-22,tgfb_plasticity_core,6.927105362805685,8,8
GSE217772,treat1,arterial_maturation,3.9368428281084724,8,8
GSE217772,treat3,arterial_maturation,4.262940835680321,8,8
GSE217772,control4,arterial_maturation,4.96269259571757,8,8
GSE217772,treat2,arterial_maturation,4.13378220994609,8,8
GSE217772,treat5,arterial_maturation,4.2554256401979735,8,8
GSE217772,control2,arterial_maturation,4.58461614756858,8,8
GSE217772,control3,arterial_maturation,4.433334525174526,8,8
GSE217772,control1,arterial_maturation,4.136815879398685,8,8
GSE217772,control5,arterial_maturation,4.6676230222269375,8,8
GSE217772,treat4,arterial_maturation,4.552322614761316,8,8
GSE217772,treat1,endothelial_matrix_core,7.654092771774566,7,7
GSE217772,treat3,endothelial_matrix_core,9.16742791708359,7,7
GSE217772,control4,endothelial_matrix_core,9.300404083755211,7,7
GSE217772,treat2,endothelial_matrix_core,7.6200490250896555,7,7
GSE217772,treat5,endothelial_matrix_core,8.005887645482675,7,7
GSE217772,control2,endothelial_matrix_core,8.226398991789496,7,7
GSE217772,control3,endothelial_matrix_core,8.282981344597912,7,7
GSE217772,control1,endothelial_matrix_core,8.717234576227069,7,7
GSE217772,control5,endothelial_matrix_core,8.164257894416883,7,7
GSE217772,treat4,endothelial_matrix_core,8.330912273835313,7,7
GSE217772,treat1,tgfb_plasticity_core,4.196300081010518,8,8
GSE217772,treat3,tgfb_plasticity_core,5.408030057290499,8,8
GSE217772,control4,tgfb_plasticity_core,5.639433525134972,8,8
GSE217772,treat2,tgfb_plasticity_core,4.34720526507438,8,8
GSE217772,treat5,tgfb_plasticity_core,4.331692771679016,8,8
GSE217772,control2,tgfb_plasticity_core,5.0495260240116915,8,8
GSE217772,control3,tgfb_plasticity_core,5.271758939759074,8,8
GSE217772,control1,tgfb_plasticity_core,5.2764610620922445,8,8
GSE217772,control5,tgfb_plasticity_core,5.112010879166131,8,8
GSE217772,treat4,tgfb_plasticity_core,4.95528009366129,8,8
GSE132176,GSM3852123,arterial_maturation,5.058232425,8,8
GSE132176,GSM3852124,arterial_maturation,5.064069437500001,8,8
GSE132176,GSM3852125,arterial_maturation,4.944715575,8,8
GSE132176,GSM3852126,arterial_maturation,5.0434020625,8,8
GSE132176,GSM3852127,arterial_maturation,5.4753277874999995,8,8
GSE132176,GSM3852128,arterial_maturation,5.1660331375,8,8
GSE132176,GSM3852129,arterial_maturation,5.262279725,8,8
GSE132176,GSM3852130,arterial_maturation,5.1126034125,8,8
GSE132176,GSM3852131,arterial_maturation,5.320657474999999,8,8
GSE132176,GSM3852132,arterial_maturation,5.1891330875,8,8
GSE132176,GSM3852133,arterial_maturation,4.9520730875000005,8,8
GSE132176,GSM3852134,arterial_maturation,4.7945547374999995,8,8
GSE132176,GSM3852135,arterial_maturation,4.9638930625,8,8
GSE132176,GSM3852136,arterial_maturation,4.9174639,8,8
GSE132176,GSM3852137,arterial_maturation,5.1738130375,8,8
GSE132176,GSM3852138,arterial_maturation,4.88164955,8,8
GSE132176,GSM3852139,arterial_maturation,5.057352712499999,8,8
GSE132176,GSM3852140,arterial_maturation,4.612961049999999,8,8
GSE132176,GSM3852141,arterial_maturation,5.0961138749999995,8,8
GSE132176,GSM3852142,arterial_maturation,5.0519887625,8,8
GSE132176,GSM3852143,arterial_maturation,5.394725812500001,8,8
GSE132176,GSM3852144,arterial_maturation,5.0349202875,8,8
GSE132176,GSM3852145,arterial_maturation,4.992530375000001,8,8
GSE132176,GSM3852146,arterial_maturation,5.035350875,8,8
GSE132176,GSM3852147,arterial_maturation,5.095593475,8,8
GSE132176,GSM3852148,arterial_maturation,4.945439525,8,8
GSE132176,GSM3852149,arterial_maturation,5.3070460375,8,8
GSE132176,GSM3852150,arterial_maturation,4.9404927875,8,8
GSE132176,GSM3852151,arterial_maturation,5.1936232625,8,8
GSE132176,GSM3852152,arterial_maturation,4.8376561250000005,8,8
GSE132176,GSM3852153,arterial_maturation,5.170702587499999,8,8
GSE132176,GSM3852154,arterial_maturation,5.215228837500001,8,8
GSE132176,GSM3852155,arterial_maturation,5.063613699999999,8,8
GSE132176,GSM3852156,arterial_maturation,4.9864798375,8,8
GSE132176,GSM3852157,arterial_maturation,5.09421295,8,8
GSE132176,GSM3852158,arterial_maturation,5.0637685999999995,8,8
GSE132176,GSM3852159,arterial_maturation,5.107658112499999,8,8
GSE132176,GSM3852160,arterial_maturation,4.958761325,8,8
GSE132176,GSM3852161,arterial_maturation,5.1629029125,8,8
GSE132176,GSM3852162,arterial_maturation,5.0939096875,8,8
GSE132176,GSM3852123,endothelial_matrix_core,6.798793946938775,7,7
GSE132176,GSM3852124,endothelial_matrix_core,7.203603069387754,7,7
GSE132176,GSM3852125,endothelial_matrix_core,7.115425699489796,7,7
GSE132176,GSM3852126,endothelial_matrix_core,6.796304567857143,7,7
GSE132176,GSM3852127,endothelial_matrix_core,7.297534708163264,7,7
GSE132176,GSM3852128,endothelial_matrix_core,7.241638539285715,7,7
GSE132176,GSM3852129,endothelial_matrix_core,7.176700960204081,7,7
GSE132176,GSM3852130,endothelial_matrix_core,7.005468726530613,7,7
GSE132176,GSM3852131,endothelial_matrix_core,6.866669180612244,7,7
GSE132176,GSM3852132,endothelial_matrix_core,6.861797297959184,7,7
GSE132176,GSM3852133,endothelial_matrix_core,6.701955966326531,7,7
GSE132176,GSM3852134,endothelial_matrix_core,6.670780351020407,7,7
GSE132176,GSM3852135,endothelial_matrix_core,6.35190566377551,7,7
GSE132176,GSM3852136,endothelial_matrix_core,6.892444213265307,7,7
GSE132176,GSM3852137,endothelial_matrix_core,6.803465973979591,7,7
GSE132176,GSM3852138,endothelial_matrix_core,7.15849677755102,7,7
GSE132176,GSM3852139,endothelial_matrix_core,6.516486740306122,7,7
GSE132176,GSM3852140,endothelial_matrix_core,6.366156465306122,7,7
GSE132176,GSM3852141,endothelial_matrix_core,6.711495297959184,7,7
GSE132176,GSM3852142,endothelial_matrix_core,6.485464293367348,7,7
GSE132176,GSM3852143,endothelial_matrix_core,6.891191930102041,7,7
GSE132176,GSM3852144,endothelial_matrix_core,6.4936982341836735,7,7
GSE132176,GSM3852145,endothelial_matrix_core,6.6802188433673475,7,7
GSE132176,GSM3852146,endothelial_matrix_core,6.997393911734695,7,7
GSE132176,GSM3852147,endothelial_matrix_core,7.039639591326531,7,7
GSE132176,GSM3852148,endothelial_matrix_core,7.610818682653061,7,7
GSE132176,GSM3852149,endothelial_matrix_core,6.908560408673469,7,7
GSE132176,GSM3852150,endothelial_matrix_core,7.145746668367347,7,7
GSE132176,GSM3852151,endothelial_matrix_core,6.544999587755102,7,7
GSE132176,GSM3852152,endothelial_matrix_core,6.8049243765306136,7,7
GSE132176,GSM3852153,endothelial_matrix_core,6.738615050000001,7,7
GSE132176,GSM3852154,endothelial_matrix_core,6.830562202551021,7,7
GSE132176,GSM3852155,endothelial_matrix_core,6.617702112244898,7,7
GSE132176,GSM3852156,endothelial_matrix_core,6.500451891836735,7,7
GSE132176,GSM3852157,endothelial_matrix_core,7.297043418877551,7,7
GSE132176,GSM3852158,endothelial_matrix_core,7.490907469387755,7,7
GSE132176,GSM3852159,endothelial_matrix_core,6.781490079081633,7,7
GSE132176,GSM3852160,endothelial_matrix_core,6.964711524489796,7,7
GSE132176,GSM3852161,endothelial_matrix_core,6.5490337255102045,7,7
GSE132176,GSM3852162,endothelial_matrix_core,6.7279020433673455,7,7
GSE132176,GSM3852123,tgfb_plasticity_core,5.059376556249999,8,8
GSE132176,GSM3852124,tgfb_plasticity_core,5.129794175,8,8
GSE132176,GSM3852125,tgfb_plasticity_core,5.034341589583334,8,8
GSE132176,GSM3852126,tgfb_plasticity_core,5.106846825000001,8,8
GSE132176,GSM3852127,tgfb_plasticity_core,4.953310595833333,8,8
GSE132176,GSM3852128,tgfb_plasticity_core,5.1602688125,8,8
GSE132176,GSM3852129,tgfb_plasticity_core,5.1013463833333335,8,8
GSE132176,GSM3852130,tgfb_plasticity_core,5.19209005,8,8
GSE132176,GSM3852131,tgfb_plasticity_core,4.9723384062500005,8,8
GSE132176,GSM3852132,tgfb_plasticity_core,5.2442947520833325,8,8
GSE132176,GSM3852133,tgfb_plasticity_core,5.1699611,8,8
GSE132176,GSM3852134,tgfb_plasticity_core,5.174358747916667,8,8
GSE132176,GSM3852135,tgfb_plasticity_core,4.8449489041666665,8,8
GSE132176,GSM3852136,tgfb_plasticity_core,5.169348149999999,8,8
GSE132176,GSM3852137,tgfb_plasticity_core,5.0666136250000005,8,8
GSE132176,GSM3852138,tgfb_plasticity_core,5.108810391666667,8,8
GSE132176,GSM3852139,tgfb_plasticity_core,4.968777108333333,8,8
GSE132176,GSM3852140,tgfb_plasticity_core,5.1193438166666665,8,8
GSE132176,GSM3852141,tgfb_plasticity_core,5.033128127083334,8,8
GSE132176,GSM3852142,tgfb_plasticity_core,4.997276279166667,8,8
GSE132176,GSM3852143,tgfb_plasticity_core,5.271684249999999,8,8
GSE132176,GSM3852144,tgfb_plasticity_core,5.3578569145833335,8,8
GSE132176,GSM3852145,tgfb_plasticity_core,5.058208941666667,8,8
GSE132176,GSM3852146,tgfb_plasticity_core,5.220841702083333,8,8
GSE132176,GSM3852147,tgfb_plasticity_core,5.156746141666666,8,8
GSE132176,GSM3852148,tgfb_plasticity_core,5.278782110416667,8,8
GSE132176,GSM3852149,tgfb_plasticity_core,4.997735664583334,8,8
GSE132176,GSM3852150,tgfb_plasticity_core,5.235569641666666,8,8
GSE132176,GSM3852151,tgfb_plasticity_core,4.91420120625,8,8
GSE132176,GSM3852152,tgfb_plasticity_core,5.215921995833334,8,8
GSE132176,GSM3852153,tgfb_plasticity_core,5.2567644187500004,8,8
GSE132176,GSM3852154,tgfb_plasticity_core,5.299500066666666,8,8
GSE132176,GSM3852155,tgfb_plasticity_core,4.9378792958333335,8,8
GSE132176,GSM3852156,tgfb_plasticity_core,5.057201339583334,8,8
GSE132176,GSM3852157,tgfb_plasticity_core,5.1101941562499995,8,8
GSE132176,GSM3852158,tgfb_plasticity_core,5.142752897916666,8,8
GSE132176,GSM3852159,tgfb_plasticity_core,4.9854285479166665,8,8
GSE132176,GSM3852160,tgfb_plasticity_core,5.105924187499999,8,8
GSE132176,GSM3852161,tgfb_plasticity_core,5.097883322916667,8,8
GSE132176,GSM3852162,tgfb_plasticity_core,5.27510341875,8,8
GSE23959,GSM590269,arterial_maturation,4.641354801922458,8,8
GSE23959,GSM590270,arterial_maturation,5.021691911106418,8,8
GSE23959,GSM590271,arterial_maturation,4.6550689139116805,8,8
GSE23959,GSM590272,arterial_maturation,4.471286233460022,8,8
GSE23959,GSM590273,arterial_maturation,4.550440433729488,8,8
GSE23959,GSM590274,arterial_maturation,4.407601938374759,8,8
GSE23959,GSM590275,arterial_maturation,4.905898697946831,8,8
GSE23959,GSM590276,arterial_maturation,4.446301663077139,8,8
GSE23959,GSM590277,arterial_maturation,4.029304354086229,8,8
GSE23959,GSM590278,arterial_maturation,4.390443747979006,8,8
GSE23959,GSM590279,arterial_maturation,4.734444368494611,8,8
GSE23959,GSM590280,arterial_maturation,4.38126762450732,8,8
GSE23959,GSM590281,arterial_maturation,4.6349300464225385,8,8
GSE23959,GSM590282,arterial_maturation,4.447110454331564,8,8
GSE23959,GSM590283,arterial_maturation,4.4112368687962515,8,8
GSE23959,GSM590284,arterial_maturation,4.55077850265444,8,8
GSE23959,GSM590269,endothelial_matrix_core,6.772154905709023,7,7
GSE23959,GSM590270,endothelial_matrix_core,7.321871373044439,7,7
GSE23959,GSM590271,endothelial_matrix_core,6.712390614747853,7,7
GSE23959,GSM590272,endothelial_matrix_core,6.2834929843050515,7,7
GSE23959,GSM590273,endothelial_matrix_core,6.715068135430895,7,7
GSE23959,GSM590274,endothelial_matrix_core,7.2735353105410665,7,7
GSE23959,GSM590275,endothelial_matrix_core,7.534288201103144,7,7
GSE23959,GSM590276,endothelial_matrix_core,7.608358840409197,7,7
GSE23959,GSM590277,endothelial_matrix_core,6.456269494552662,7,7
GSE23959,GSM590278,endothelial_matrix_core,7.133000785369587,7,7
GSE23959,GSM590279,endothelial_matrix_core,6.943354945617464,7,7
GSE23959,GSM590280,endothelial_matrix_core,6.437271336596273,7,7
GSE23959,GSM590281,endothelial_matrix_core,6.408970912061604,7,7
GSE23959,GSM590282,endothelial_matrix_core,7.328764650410789,7,7
GSE23959,GSM590283,endothelial_matrix_core,6.400396386741035,7,7
GSE23959,GSM590284,endothelial_matrix_core,6.467011770634902,7,7
GSE23959,GSM590269,tgfb_plasticity_core,5.062055793279432,8,8
GSE23959,GSM590270,tgfb_plasticity_core,5.574645941866141,8,8
GSE23959,GSM590271,tgfb_plasticity_core,5.366586178587345,8,8
GSE23959,GSM590272,tgfb_plasticity_core,5.157591091200874,8,8
GSE23959,GSM590273,tgfb_plasticity_core,5.049998105535396,8,8
GSE23959,GSM590274,tgfb_plasticity_core,5.335687543725066,8,8
GSE23959,GSM590275,tgfb_plasticity_core,5.430924809083482,8,8
GSE23959,GSM590276,tgfb_plasticity_core,5.4248646880199045,8,8
GSE23959,GSM590277,tgfb_plasticity_core,5.500464463214073,8,8
GSE23959,GSM590278,tgfb_plasticity_core,5.12657239502695,8,8
GSE23959,GSM590279,tgfb_plasticity_core,5.273161318680503,8,8
GSE23959,GSM590280,tgfb_plasticity_core,5.128100508992233,8,8
GSE23959,GSM590281,tgfb_plasticity_core,5.1782780477092345,8,8
GSE23959,GSM590282,tgfb_plasticity_core,5.288737329455268,8,8
GSE23959,GSM590283,tgfb_plasticity_core,5.053125761575842,8,8
GSE23959,GSM590284,tgfb_plasticity_core,5.13260084559354,8,8
