contrast,dataset,gene,gene_set,present,test,n_case,n_control,mean_case,mean_control,delta_case_minus_control,ci95_low,ci95_high,p_value,effect_size_cohen_d,fdr_within_contrast
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,COL4A1,ecm_integrin,True,welch_t,22,4,11.19162442738806,11.05835204297556,0.1332723844124999,-0.8361206136717161,1.1026653824967159,0.7568282308190554,0.11619298620665802,0.9403331336943118
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,COL4A2,ecm_integrin,True,welch_t,22,4,11.85692478971332,11.947808476985276,-0.0908836872719565,-0.6810250290008061,0.4992576544568931,0.7532044136775826,-0.07569600373701062,0.9403331336943118
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,CXCL8,hypoxia_inflammation,True,welch_t,22,4,0.9286092675942967,1.274246836865738,-0.3456375692714413,-2.681786811179756,1.9905116726368737,0.6892748257642024,-0.3136685431350958,0.9403331336943118
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,DCN,ecm_integrin,True,welch_t,22,4,12.047912672902669,12.596146007352765,-0.5482333344500958,-1.600077941859659,0.5036112729594673,0.21680402910554528,-0.9234035260003043,0.5445321409615761
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,DLL4,arterial_maturation,True,welch_t,22,4,7.1916334377585365,7.907664927441653,-0.7160314896831164,-1.5311145800536874,0.09905160068745467,0.07773791745591883,-0.6884358527473095,0.29367657705569333
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,EDN1,flow_mechanosensing,True,welch_t,22,4,3.4114581747130477,3.3711243436012763,0.04033383111177136,-1.8192901519810514,1.899957814204594,0.9534525966886764,0.04120856210867943,1.0
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,EFNB2,arterial_maturation,True,welch_t,22,4,7.670812701409452,7.882756843027731,-0.2119441416182788,-1.1182582610539158,0.6943699778173581,0.5925623995065913,-0.21800457247264132,0.9370754224755397
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,EMCN,endothelial_identity,True,welch_t,22,4,7.324412664598298,7.290138379376074,0.03427428522222353,-1.14742735653656,1.215975926981007,0.9382144987356004,0.052876165379560164,1.0
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,ENG,endothelial_identity,True,welch_t,22,4,11.504665106523435,11.872564257225225,-0.36789915070179013,-1.0824332572873563,0.34663495588377613,0.2776250631456765,-0.3726696306082122,0.6292834764635333
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,EPAS1,hypoxia_inflammation,True,welch_t,22,4,11.069118613079091,11.577476877517215,-0.5083582644381242,-1.1255245497878201,0.10880802091157182,0.09652834688456194,-0.5876336358787185,0.33503177580958077
