order,specification,covariates,beta,se,ci_low,ci_high,p_value,t_value,n,rank,df_resid,condition_number,positive_direction
1,Unadjusted OLS,none,-0.24817574987589847,0.625396631654827,-1.690342968614686,1.193991468862889,0.7018691679865202,-0.39682936765939164,10,2,8,2.9239876105912574,False
2,CHD + age,age_years,1.916121032810961,0.7704206181822549,0.09436575513009648,3.7378763104918256,0.041772919676109306,2.487110271440935,10,3,7,34.55102183492071,True
3,CHD + sex,sex_male,-0.49758165608901117,0.6950376406841009,-2.1410845170204675,1.1459212048424452,0.49722977628011944,-0.7159060559644786,10,3,7,3.515549442140352,False
4,CHD + contamination,log10_cm_fraction,0.43778135323415973,0.662761588719406,-1.1294007724759103,2.0049634789442297,0.5300358319324872,0.6605412273213431,10,3,7,14.970242269106784,True
5,CHD + age + contamination,age_years;log10_cm_fraction,1.874986786928459,0.7839324479595956,-0.043226810480969435,3.7932003843378874,0.053895966547868025,2.391770862156094,10,4,6,39.6510292756106,True
6,CHD + age + sex,age_years;sex_male,1.8867455598522183,0.9757127754783784,-0.5007375937793856,4.274228713483822,0.10132167454496065,1.9337100090005208,10,4,6,38.077666256394245,True
7,Full: CHD + age + sex + contamination,age_years;sex_male;log10_cm_fraction,2.1217763615983865,1.0192291884879427,-0.49823567667906055,4.7417883998758334,0.09185789369132163,2.081746073958209,10,5,5,48.881751657401594,True
