variant,module_definitions,adjusted_beta,adjusted_se,adjusted_ci_low,adjusted_ci_high,adjusted_p_value,adjusted_df_resid,adjusted_n,adjusted_rank,clean_beta,clean_se,clean_ci_low,clean_ci_high,clean_p_value,clean_df_resid,clean_n,clean_rank
main_core_disjoint,"arterial_maturation:NOTCH1,DLL4,JAG1,HEY1,HEY2,EFNB2,GJA5,SOX17 | endothelial_matrix_core:FN1,VCAN,COL4A1,COL4A2,LAMA4,ITGA5,ITGB1 | tgfb_plasticity_core:TGFB1,TGFB2,TGFBR1,TGFBR2,SMAD2,SMAD3,SNAI1,SNAI2",2.1217763615983865,1.019229188487942,-0.4982356766790592,4.741788399875832,0.09185789369132154,5,10,5,1.1700691999828785,1.2742063133434511,-2.885023974086162,5.225162374051919,0.4261945954818102,3,7,4
original_overlapping,"arterial_maturation:NOTCH1,DLL4,JAG1,HEY1,HEY2,EFNB2,GJA5,SOX17 | ecm_integrin:FN1,VCAN,COL4A1,COL4A2,LAMA4,ITGA5,ITGB1,POSTN,COL1A1,COL1A2,COL3A1,DCN | tgfb_endmt:TGFB1,TGFB2,TGFBR1,TGFBR2,SMAD2,SMAD3,SNAI1,SNAI2,TAGLN,ACTA2,VIM,FN1",2.1112071993964268,1.465336516431619,-1.6555602328372871,5.87797463163014,0.20920791403487837,5,10,5,1.2456157105385413,2.1413493507422836,-5.5691136190529065,8.060345040129988,0.6015972250963392,3,7,4
original_disjoint,"arterial_maturation:NOTCH1,DLL4,JAG1,HEY1,HEY2,EFNB2,GJA5,SOX17 | ecm_integrin:FN1,VCAN,COL4A1,COL4A2,LAMA4,ITGA5,ITGB1,POSTN,COL1A1,COL1A2,COL3A1,DCN | tgfb_endmt:TGFB1,TGFB2,TGFBR1,TGFBR2,SMAD2,SMAD3,SNAI1,SNAI2,TAGLN,ACTA2,VIM",2.1426571884711154,1.4933640190410116,-1.6961572328685524,5.981471609810783,0.21081585907171885,5,10,5,1.2480163513575353,2.1768322680929004,-5.679635457457069,8.17566816017214,0.6065858206496038,3,7,4
original_disjoint_no_mesenchymal,"arterial_maturation:NOTCH1,DLL4,JAG1,HEY1,HEY2,EFNB2,GJA5,SOX17 | ecm_integrin:FN1,VCAN,COL4A1,COL4A2,LAMA4,ITGA5,ITGB1,POSTN,COL1A1,COL1A2,COL3A1,DCN | tgfb_plasticity:TGFB1,TGFB2,TGFBR1,TGFBR2,SMAD2,SMAD3,SNAI1,SNAI2",2.1190280130300083,1.3285938427394974,-1.2962311860543942,5.53428721211441,0.17161008817178014,5,10,5,1.301595932530036,1.9272999750023778,-4.8319327520896636,7.435124617149736,0.5478501892079741,3,7,4
core_ecm_disjoint_full_endmt,"arterial_maturation:NOTCH1,DLL4,JAG1,HEY1,HEY2,EFNB2,GJA5,SOX17 | endothelial_matrix_core:FN1,VCAN,COL4A1,COL4A2,LAMA4,ITGA5,ITGB1 | tgfb_endmt:TGFB1,TGFB2,TGFBR1,TGFBR2,SMAD2,SMAD3,SNAI1,SNAI2,TAGLN,ACTA2,VIM",2.145405537039493,1.169562558832315,-0.8610507323351846,5.151861806414171,0.12605775874625913,5,10,5,1.1164896188103781,1.5152837304159998,-3.7058194905085347,5.93879872812929,0.514623947027049,3,7,4
